Category: All categories

Region,hope: (2011)
Rhode Island,100
North Carolina,69
Minnesota,58
Michigan,58
Hawaii,57
Tennessee,52
Pennsylvania,51
Arkansas,51
Iowa,49
Georgia,49
New Jersey,47
Alabama,47
West Virginia,45
North Dakota,44
South Carolina,44
Alaska,43
Nebraska,42
Connecticut,42
District of Columbia,42
Ohio,41
Missouri,41
Oklahoma,41
Indiana,41
Kentucky,41
Maryland,41
Wisconsin,41
Kansas,41
Virginia,41
Oregon,40
South Dakota,40
Maine,39
California,39
Washington,39
Massachusetts,39
Mississippi,39
Delaware,38
Louisiana,38
Texas,38
New York,37
Illinois,37
Colorado,36
Vermont,35
Arizona,35
New Mexico,34
Utah,33
Florida,33
Idaho,33
Montana,32
Wyoming,31
Nevada,31
New Hampshire,30
