Category: All categories

Region,moving: (2016)
Colorado,100
Virginia,99
Oregon,95
New York,93
Washington,90
Connecticut,89
Arizona,89
Missouri,88
New Jersey,87
Alaska,86
Nebraska,86
Maryland,86
Idaho,86
Kansas,85
Pennsylvania,85
North Carolina,84
California,84
Texas,84
Illinois,84
Florida,84
New Hampshire,83
New Mexico,83
District of Columbia,83
Michigan,83
Tennessee,83
Minnesota,82
Massachusetts,82
South Carolina,81
Indiana,81
Hawaii,81
Wyoming,80
Nevada,80
Utah,80
Alabama,80
Georgia,80
Arkansas,79
Rhode Island,78
Wisconsin,78
Louisiana,78
Maine,77
Ohio,77
Oklahoma,77
Kentucky,77
North Dakota,76
Iowa,75
South Dakota,75
Mississippi,75
Vermont,74
Delaware,71
Montana,69
West Virginia,69
