Category: All categories

Region,moving: (2012)
Virginia,100
Colorado,98
Maryland,91
Arizona,91
Nevada,91
Oklahoma,91
Florida,91
Alaska,90
New Jersey,90
Kansas,89
South Carolina,89
Massachusetts,89
Oregon,89
Washington,87
Pennsylvania,87
New York,86
Missouri,86
Tennessee,86
South Dakota,85
Hawaii,85
Texas,85
Indiana,85
Montana,84
North Carolina,84
Delaware,83
Wyoming,83
District of Columbia,82
Kentucky,82
Utah,82
North Dakota,82
Illinois,82
Connecticut,82
Ohio,81
Rhode Island,80
Vermont,80
Wisconsin,80
New Mexico,80
Georgia,79
Iowa,79
Minnesota,78
Michigan,78
Alabama,78
California,77
Idaho,77
New Hampshire,77
Maine,76
West Virginia,75
Arkansas,75
Louisiana,73
Nebraska,72
Mississippi,64
