Category: All categories

Region,moving: (2013)
Colorado,100
District of Columbia,95
Virginia,94
New York,92
Connecticut,89
New Jersey,89
Washington,89
Hawaii,87
Maryland,87
North Carolina,87
Massachusetts,86
Utah,86
Tennessee,85
Florida,85
Arizona,84
Alaska,84
South Carolina,83
Wisconsin,82
Missouri,82
Arkansas,82
Kansas,82
Texas,82
Ohio,82
California,82
Vermont,81
Oklahoma,81
Pennsylvania,81
Minnesota,81
Illinois,80
Delaware,80
Iowa,80
Indiana,80
New Mexico,80
Nevada,80
Georgia,80
South Dakota,80
New Hampshire,79
Wyoming,79
Alabama,79
North Dakota,79
Montana,78
Kentucky,76
Michigan,76
Louisiana,74
Nebraska,73
Idaho,72
Rhode Island,72
Mississippi,70
Maine,70
West Virginia,68
Oregon,59
