Category: All categories

Region,moving: (2007)
Nevada,100
Colorado,99
New York,97
Washington,95
Arizona,92
Texas,92
Florida,92
Virginia,90
District of Columbia,89
North Carolina,89
Georgia,88
Maryland,88
Missouri,88
New Mexico,87
Massachusetts,87
Wyoming,86
New Jersey,85
California,85
Rhode Island,84
Mississippi,83
Illinois,82
Ohio,82
Alaska,81
Utah,81
Kansas,81
Pennsylvania,80
Connecticut,80
Delaware,79
Indiana,78
Oregon,78
Nebraska,77
Oklahoma,77
Michigan,77
Idaho,76
Vermont,76
Arkansas,75
Hawaii,75
Montana,74
Kentucky,74
South Carolina,74
New Hampshire,73
Maine,71
Louisiana,71
North Dakota,71
Tennessee,70
Minnesota,69
Alabama,69
Iowa,68
West Virginia,65
Wisconsin,64
South Dakota,64
