Category: All categories

Region,moving: (2004)
New York,100
District of Columbia,99
Colorado,95
Nevada,93
Maryland,92
Wyoming,89
Arizona,87
California,87
North Carolina,84
Massachusetts,84
New Jersey,83
Delaware,82
Virginia,81
New Mexico,80
Utah,79
Washington,79
Georgia,77
Connecticut,77
Oregon,76
Illinois,75
Michigan,74
Florida,74
Minnesota,73
Idaho,73
Louisiana,72
Iowa,72
North Dakota,72
Rhode Island,72
Pennsylvania,72
Texas,72
Tennessee,72
Ohio,71
Kansas,71
Montana,70
Hawaii,70
Missouri,69
Nebraska,69
Kentucky,68
Arkansas,68
New Hampshire,67
Wisconsin,67
Maine,67
South Carolina,66
Indiana,66
Mississippi,65
Alaska,65
Vermont,64
Alabama,64
Oklahoma,62
South Dakota,59
West Virginia,53
