Category: All categories

Region,moving: (2010)
New York,100
Colorado,98
Arizona,97
Maryland,96
North Carolina,93
Florida,93
Massachusetts,92
Ohio,90
District of Columbia,89
New Jersey,89
Illinois,89
New Hampshire,89
Rhode Island,88
Pennsylvania,88
Michigan,88
Nevada,87
Missouri,87
Alaska,87
Washington,86
Maine,86
North Dakota,85
Idaho,85
South Dakota,85
Arkansas,85
Nebraska,84
New Mexico,84
Mississippi,84
Texas,84
Wyoming,83
Tennessee,83
South Carolina,83
Connecticut,83
Oregon,82
Indiana,82
Kansas,82
West Virginia,81
Delaware,81
Iowa,81
Hawaii,80
Georgia,80
Utah,80
Oklahoma,79
Kentucky,77
Wisconsin,77
Minnesota,76
Montana,72
Alabama,72
Louisiana,72
Vermont,62
California,58
Virginia,48
