Category: All categories

Region,moving: (2006)
Texas,100
Nevada,99
Massachusetts,96
New York,95
Virginia,95
Colorado,94
Florida,94
District of Columbia,93
New Mexico,92
Georgia,92
Illinois,91
Arizona,90
California,89
Wyoming,89
Rhode Island,89
Maryland,89
New Jersey,85
Nebraska,85
North Carolina,85
Oregon,84
Delaware,84
Connecticut,84
Washington,84
Utah,82
North Dakota,82
Tennessee,81
Ohio,81
Pennsylvania,80
New Hampshire,80
Alaska,79
Missouri,79
Montana,78
Indiana,78
Vermont,78
Iowa,77
Maine,77
Kansas,77
Michigan,77
South Carolina,77
Minnesota,77
South Dakota,76
Hawaii,74
West Virginia,74
Wisconsin,74
Arkansas,73
Idaho,73
Kentucky,72
Oklahoma,71
Alabama,71
Louisiana,71
Mississippi,69
