Category: All categories

Region,sin: (2015)
Oregon,100
Nevada,88
Texas,85
Virginia,79
Florida,73
California,67
Oklahoma,66
New York,65
Arizona,65
New Jersey,62
Kansas,59
Georgia,58
Alabama,57
Louisiana,57
North Carolina,55
Arkansas,55
Indiana,55
Maryland,54
South Carolina,54
Tennessee,53
Rhode Island,52
Massachusetts,51
Colorado,51
New Mexico,51
Kentucky,51
Mississippi,49
Illinois,49
Michigan,49
Connecticut,49
District of Columbia,49
Pennsylvania,48
Washington,48
Ohio,47
West Virginia,46
Alaska,45
Missouri,45
Utah,45
Minnesota,44
Delaware,44
Wyoming,44
Nebraska,44
Idaho,43
Wisconsin,43
Hawaii,41
South Dakota,40
Iowa,40
Vermont,39
New Hampshire,39
North Dakota,37
Maine,37
Montana,36
