Category: All categories

Region,sin: (2021)
Texas,100
Florida,97
Nevada,96
California,92
New Jersey,81
Maryland,78
Arizona,77
New Mexico,74
Georgia,68
New York,67
North Carolina,66
Rhode Island,64
Virginia,64
Tennessee,63
Oklahoma,63
Arkansas,63
Mississippi,63
Connecticut,62
Massachusetts,61
Illinois,61
Alabama,61
Utah,60
Colorado,59
Indiana,57
Louisiana,57
Delaware,56
District of Columbia,56
Washington,56
Oregon,56
South Carolina,55
Kansas,55
Pennsylvania,55
Kentucky,53
Nebraska,52
Alaska,51
Ohio,49
Idaho,49
Wisconsin,48
Missouri,47
Michigan,47
Iowa,47
Minnesota,47
South Dakota,46
Wyoming,46
West Virginia,45
North Dakota,43
Hawaii,41
Montana,41
Vermont,39
New Hampshire,37
Maine,34
