Category: All categories

Region,sin: (2009)
Virginia,100
California,74
Nevada,27
Florida,24
Texas,23
New York,22
Rhode Island,20
New Mexico,20
Arkansas,20
New Jersey,19
Vermont,19
Connecticut,18
Mississippi,18
Georgia,18
Illinois,17
Indiana,17
Louisiana,17
Kansas,17
Oklahoma,16
Utah,16
South Carolina,16
Arizona,16
North Carolina,16
District of Columbia,16
Maryland,16
Massachusetts,16
Alabama,15
Pennsylvania,15
West Virginia,15
Kentucky,15
Idaho,15
Oregon,15
Delaware,15
Washington,14
Alaska,14
Tennessee,14
New Hampshire,14
South Dakota,14
Nebraska,14
Michigan,14
Wisconsin,13
Colorado,13
Ohio,13
Hawaii,13
Missouri,13
North Dakota,13
Wyoming,13
Iowa,13
Montana,12
Minnesota,12
Maine,11
