Category: All categories

Region,sin: (2020)
Nevada,100
Texas,99
Florida,94
California,87
New Jersey,80
Maryland,73
Arizona,73
New Mexico,71
Virginia,69
New York,67
Oklahoma,65
Rhode Island,64
Georgia,64
Illinois,63
Connecticut,62
Massachusetts,62
North Carolina,62
Washington,61
Utah,61
Colorado,60
South Carolina,60
Nebraska,60
Louisiana,60
Arkansas,59
Mississippi,59
Indiana,59
Tennessee,59
Kentucky,59
Alabama,57
Pennsylvania,56
Oregon,55
Kansas,55
Delaware,52
Alaska,52
District of Columbia,51
Minnesota,50
Wisconsin,49
Ohio,49
Idaho,49
Missouri,49
Michigan,47
South Dakota,46
Hawaii,46
West Virginia,45
Iowa,44
North Dakota,44
Wyoming,44
Montana,42
New Hampshire,40
Vermont,37
Maine,35
