Category: All categories

Region,exgirlfriend: (2004)
South Dakota,
Maine,100
Indiana,80
Idaho,
Kansas,66
Utah,46
Kentucky,38
Louisiana,28
Connecticut,26
South Carolina,23
Arizona,22
Illinois,19
Ohio,18
North Carolina,18
Georgia,16
Tennessee,14
Colorado,14
Washington,13
Virginia,13
Wisconsin,13
New York,11
California,10
Michigan,10
Florida,9
Missouri,9
New Jersey,9
Massachusetts,6
Texas,4
Alaska,
Alabama,
Arkansas,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Maryland,
Minnesota,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
Vermont,
West Virginia,
Wyoming,
