Category: All categories

Region,exgirlfriend: (2008)
Kentucky,100
Alaska,
Nebraska,87
Oklahoma,67
Oregon,67
South Dakota,
Iowa,63
North Carolina,57
Rhode Island,
New Hampshire,55
Mississippi,54
Michigan,52
Alabama,52
Missouri,52
New Mexico,51
Louisiana,51
Ohio,50
South Carolina,49
Texas,48
Kansas,48
Minnesota,47
Georgia,47
Colorado,46
Pennsylvania,46
Arkansas,45
Washington,45
Indiana,45
Tennessee,44
Vermont,42
Hawaii,41
Florida,41
Maryland,41
Connecticut,39
Massachusetts,38
Arizona,38
District of Columbia,38
Illinois,37
New York,36
Wisconsin,35
New Jersey,35
Idaho,
California,33
Virginia,33
Maine,32
Nevada,32
Utah,29
Delaware,
Montana,
North Dakota,
West Virginia,
Wyoming,
