Category: All categories

Region,exgirlfriend: (2010)
Vermont,100
Alaska,
Arkansas,87
North Dakota,
South Carolina,70
Maine,69
Missouri,68
Wyoming,
Rhode Island,
Kentucky,67
Kansas,64
Massachusetts,64
Mississippi,64
Ohio,63
Louisiana,62
Oklahoma,62
North Carolina,60
Indiana,59
South Dakota,
Washington,58
Wisconsin,57
Arizona,55
New Jersey,55
New Mexico,55
Connecticut,54
Oregon,53
Texas,53
Georgia,53
Florida,52
Alabama,52
Pennsylvania,52
Colorado,50
Tennessee,49
Nevada,47
Nebraska,46
Minnesota,46
Montana,45
Michigan,44
Iowa,44
Illinois,41
District of Columbia,39
Hawaii,38
Virginia,37
New York,35
Maryland,35
Utah,34
New Hampshire,34
California,29
West Virginia,23
Delaware,
Idaho,
