Category: All categories

Region,miss my ex: (2012)
Montana,
Vermont,
Delaware,
West Virginia,
Mississippi,
New York,100
North Dakota,
Nevada,100
District of Columbia,
Michigan,94
Connecticut,94
Utah,
Hawaii,
Illinois,88
Arizona,88
California,88
Wisconsin,88
Virginia,83
New Jersey,83
Oklahoma,
Alabama,83
Louisiana,83
Missouri,83
Texas,83
Oregon,83
Pennsylvania,77
Alaska,
Massachusetts,77
Florida,77
Rhode Island,
New Mexico,
Indiana,72
Iowa,72
Washington,66
Minnesota,66
Kentucky,66
Georgia,66
Ohio,66
Kansas,
South Carolina,61
Colorado,61
Maryland,55
North Carolina,55
Tennessee,50
Arkansas,
Nebraska,
Maine,
Idaho,
New Hampshire,
South Dakota,
Wyoming,
