Category: All categories

Region,miss my ex: (2017)
Vermont,
Rhode Island,
Mississippi,
Nevada,100
New Hampshire,
Arizona,94
Hawaii,
New York,89
Massachusetts,89
Arkansas,
Maryland,84
Alaska,
Ohio,84
Kentucky,84
Georgia,84
New Jersey,84
Connecticut,84
North Dakota,
California,78
South Dakota,
Florida,78
Illinois,78
Pennsylvania,78
New Mexico,
Indiana,78
Louisiana,78
Delaware,
Tennessee,73
Missouri,73
Idaho,
Washington,73
Michigan,73
Colorado,68
Texas,68
Alabama,63
Virginia,63
Oregon,63
North Carolina,57
Iowa,57
South Carolina,57
Minnesota,57
District of Columbia,
Oklahoma,
West Virginia,
Wisconsin,52
Utah,
Nebraska,
Montana,
Kansas,
Maine,
Wyoming,
