Category: All categories

Region,miss my ex: (2014)
Vermont,
North Dakota,
New York,100
Nebraska,
Louisiana,95
Mississippi,
Hawaii,
Montana,
Michigan,90
California,90
New Jersey,90
Oklahoma,
New Mexico,
Arizona,90
District of Columbia,
Massachusetts,85
Utah,
Florida,76
Texas,76
Georgia,76
Pennsylvania,76
Washington,76
North Carolina,71
Ohio,71
Nevada,66
Illinois,66
Kansas,
Connecticut,66
Virginia,66
New Hampshire,
Alabama,66
Tennessee,66
Maryland,66
Minnesota,61
Iowa,61
Colorado,61
Missouri,61
South Carolina,61
Kentucky,57
Wisconsin,57
Indiana,52
Rhode Island,
Arkansas,
Oregon,23
Idaho,
Alaska,
Delaware,
Maine,
South Dakota,
West Virginia,
Wyoming,
