Category: All categories

Region,miss my ex: (2015)
Mississippi,
Montana,
Massachusetts,100
Illinois,95
New York,95
Arkansas,
District of Columbia,
Hawaii,
California,85
North Dakota,
Indiana,80
South Carolina,80
Tennessee,80
Pennsylvania,80
New Hampshire,
Washington,80
Texas,80
Colorado,75
New Mexico,
North Carolina,75
Florida,70
Arizona,70
Alabama,70
Michigan,70
Nevada,70
Delaware,
Virginia,65
Georgia,65
New Jersey,65
Louisiana,65
Ohio,65
South Dakota,
Rhode Island,
Minnesota,60
Missouri,55
Wisconsin,55
Kentucky,55
Maine,
Connecticut,55
West Virginia,
Iowa,50
Maryland,50
Vermont,
Nebraska,
Utah,
Oklahoma,
Oregon,40
Alaska,
Idaho,
Kansas,
Wyoming,
