Category: All categories

Region,Histrionic personality disorder: (2015)
West Virginia,100
South Dakota,79
Arkansas,53
Louisiana,51
Wyoming,50
Montana,48
Connecticut,44
Indiana,44
Maine,42
Mississippi,42
Kentucky,41
Utah,38
Nebraska,37
New Hampshire,37
Washington,35
Ohio,35
Pennsylvania,35
Alabama,33
Arizona,33
Missouri,33
Iowa,32
New Mexico,32
Maryland,32
Wisconsin,31
Michigan,31
North Dakota,31
Florida,29
South Carolina,29
Oklahoma,28
Colorado,28
North Carolina,28
Kansas,28
Minnesota,28
New York,28
Illinois,27
Tennessee,27
California,25
Hawaii,25
Georgia,24
Massachusetts,24
District of Columbia,24
New Jersey,24
Alaska,24
Texas,23
Virginia,22
Oregon,20
Rhode Island,19
Idaho,18
Nevada,14
Delaware,
Vermont,
