Category: All categories

Region,Histrionic personality disorder: (2012)
Pennsylvania,100
West Virginia,86
Vermont,81
Maine,76
Delaware,74
Alabama,71
Tennessee,71
Maryland,69
District of Columbia,69
Louisiana,66
Kentucky,64
North Carolina,64
Arkansas,62
Mississippi,62
Alaska,62
Idaho,62
Ohio,62
South Carolina,59
Montana,59
Nevada,57
Virginia,57
Indiana,55
Wisconsin,55
Missouri,55
Utah,55
Oklahoma,55
Michigan,54
Arizona,54
Illinois,52
New Hampshire,50
New Jersey,50
Washington,50
Connecticut,50
New York,50
Georgia,50
Minnesota,50
Massachusetts,50
Iowa,47
Florida,45
Colorado,45
Oregon,45
Texas,44
Nebraska,44
California,42
Kansas,40
North Dakota,37
New Mexico,32
Hawaii,30
Rhode Island,30
South Dakota,28
Wyoming,
