Category: All categories

Region,Histrionic personality disorder: (2021)
Utah,100
Idaho,86
Oregon,86
Rhode Island,83
New Hampshire,83
Oklahoma,83
Missouri,81
South Dakota,81
North Dakota,81
Minnesota,78
West Virginia,75
Massachusetts,75
Iowa,72
District of Columbia,72
Wyoming,72
Arkansas,67
Washington,67
Virginia,67
Maryland,64
Kentucky,64
Arizona,64
Wisconsin,64
Louisiana,62
Indiana,62
Illinois,62
Alaska,62
Pennsylvania,62
Michigan,62
Tennessee,62
Florida,59
North Carolina,59
Hawaii,59
New Jersey,59
Delaware,56
Colorado,56
Connecticut,56
Mississippi,56
Nevada,56
Kansas,56
New York,54
Georgia,54
California,54
Alabama,54
Ohio,54
Maine,51
Texas,51
New Mexico,48
Nebraska,45
Montana,45
South Carolina,45
Vermont,24
