Category: All categories

Region,Histrionic personality disorder: (2011)
Arkansas,100
Alaska,92
North Dakota,73
Vermont,71
Alabama,71
Idaho,66
South Dakota,66
Mississippi,64
Delaware,62
Maine,60
West Virginia,60
Kentucky,58
Rhode Island,56
Tennessee,56
New Mexico,56
Nevada,54
Ohio,50
Connecticut,50
Arizona,50
Colorado,49
South Carolina,47
Maryland,47
North Carolina,47
Oklahoma,45
Michigan,45
Indiana,45
Louisiana,45
Wisconsin,45
Massachusetts,45
Pennsylvania,43
Montana,43
Virginia,43
Utah,41
Iowa,41
Missouri,41
Florida,41
District of Columbia,41
Minnesota,39
New York,39
Georgia,37
Washington,37
New Jersey,35
Illinois,35
Oregon,35
California,33
Texas,33
Kansas,32
Nebraska,30
Hawaii,30
New Hampshire,13
Wyoming,
