Category: All categories

Region,Histrionic personality disorder: (2016)
West Virginia,100
South Dakota,94
Maine,79
Rhode Island,76
Arkansas,74
Oklahoma,66
Kentucky,61
Mississippi,61
Connecticut,56
Missouri,56
Tennessee,56
North Dakota,56
Washington,51
Alaska,51
North Carolina,51
Michigan,51
Minnesota,48
District of Columbia,48
Utah,48
Delaware,48
Oregon,48
Indiana,48
Wisconsin,48
Maryland,48
Pennsylvania,48
Massachusetts,48
Colorado,48
Virginia,48
Kansas,46
Montana,46
Alabama,46
New Jersey,46
Nebraska,43
Ohio,43
Illinois,43
Arizona,43
California,41
South Carolina,41
New York,38
Florida,38
Wyoming,38
Iowa,38
Georgia,38
Texas,35
New Mexico,30
Idaho,30
Nevada,30
Hawaii,30
New Hampshire,28
Vermont,20
Louisiana,20
