Category: All categories

Region,Histrionic personality disorder: (2014)
Rhode Island,100
New Hampshire,83
Utah,79
Arkansas,75
West Virginia,75
Indiana,71
Mississippi,69
Montana,69
Nebraska,65
Delaware,65
Washington,65
Ohio,65
Idaho,65
North Dakota,65
Pennsylvania,65
South Dakota,63
Missouri,63
Vermont,63
Wisconsin,61
Maine,61
Oklahoma,61
Hawaii,59
Minnesota,59
Alaska,59
South Carolina,59
Connecticut,59
Tennessee,57
Michigan,57
Arizona,55
Kentucky,55
Illinois,55
Massachusetts,55
Georgia,53
Louisiana,53
Maryland,53
Colorado,53
Florida,53
Nevada,51
North Carolina,48
New York,48
Alabama,48
Iowa,46
Texas,44
California,44
New Jersey,44
New Mexico,38
Virginia,38
Kansas,38
Wyoming,34
District of Columbia,34
Oregon,32
