Category: All categories

Region,Histrionic personality disorder: (2017)
North Dakota,100
Delaware,100
Alaska,90
Wyoming,85
Connecticut,73
Missouri,73
Oklahoma,71
Hawaii,69
Pennsylvania,69
Ohio,66
Rhode Island,66
Arkansas,64
Mississippi,64
Kentucky,64
Maryland,64
Maine,64
Tennessee,61
South Carolina,61
Massachusetts,61
Idaho,59
West Virginia,59
Michigan,59
Nevada,57
Minnesota,57
Oregon,57
South Dakota,57
Alabama,57
Georgia,54
New Mexico,54
North Carolina,54
Illinois,54
Virginia,54
Iowa,54
Utah,52
Louisiana,52
New Jersey,50
Montana,50
Florida,50
New Hampshire,50
Wisconsin,50
New York,50
Colorado,50
District of Columbia,50
Nebraska,50
Washington,50
Kansas,47
Arizona,47
Indiana,47
California,47
Texas,45
Vermont,14
