Category: All categories

Region,how to die: (2004)
North Dakota,100
Idaho,75
Maine,67
Kentucky,59
Nevada,53
Utah,52
Hawaii,50
Ohio,38
Alaska,36
New Mexico,36
Louisiana,34
Massachusetts,29
Oregon,29
Pennsylvania,29
North Carolina,29
Connecticut,28
New Jersey,28
South Carolina,27
Colorado,27
Texas,27
Georgia,27
Arizona,27
Indiana,26
Illinois,25
Tennessee,25
Missouri,24
Nebraska,24
District of Columbia,23
California,22
New York,22
Florida,22
Michigan,21
Alabama,20
Oklahoma,20
Virginia,20
Maryland,20
Wisconsin,18
Washington,17
Iowa,14
Kansas,12
Minnesota,11
Arkansas,
Delaware,
Mississippi,
Montana,
New Hampshire,
Rhode Island,
South Dakota,
Vermont,
West Virginia,
Wyoming,
