Category: All categories

Region,how to die: (2007)
Delaware,100
Wyoming,93
South Dakota,91
Nebraska,89
Mississippi,82
West Virginia,80
Utah,65
Idaho,65
New Jersey,63
Louisiana,63
Michigan,61
New Hampshire,61
Ohio,60
Indiana,59
Missouri,59
Pennsylvania,58
Tennessee,56
Kentucky,55
Arkansas,55
North Carolina,54
Florida,54
Wisconsin,54
Montana,53
North Dakota,53
Kansas,52
Alabama,52
Illinois,51
Arizona,50
Nevada,50
Connecticut,49
Oklahoma,49
Hawaii,48
Colorado,48
Georgia,48
Minnesota,48
Alaska,47
Rhode Island,47
South Carolina,46
Virginia,45
Maryland,45
Texas,45
Maine,44
Oregon,43
New York,42
Washington,42
California,40
Iowa,39
Massachusetts,37
District of Columbia,37
New Mexico,34
Vermont,
