Category: All categories

Region,suicidal friend: (2019)
Montana,
Arkansas,
Hawaii,
North Dakota,
Kansas,
Utah,
Minnesota,
Nevada,
South Dakota,
Kentucky,
Idaho,
New Hampshire,
Ohio,100
Arizona,
Maryland,
Alabama,
Tennessee,
Vermont,
Pennsylvania,85
Maine,
Oregon,
New Mexico,
Washington,85
Connecticut,
Massachusetts,71
Colorado,
North Carolina,71
California,71
Illinois,57
Indiana,
Iowa,
Texas,57
Georgia,57
Michigan,57
Missouri,
Virginia,57
New Jersey,42
Florida,42
Oklahoma,
South Carolina,
New York,42
Louisiana,
West Virginia,
Wisconsin,28
Nebraska,
Alaska,
District of Columbia,
Delaware,
Mississippi,
Rhode Island,
Wyoming,
