Category: All categories

Region,suicidal friend: (2017)
North Dakota,
Utah,
Washington,100
Alaska,
West Virginia,
Nevada,
Maryland,
Idaho,
Maine,
Kentucky,
Connecticut,
Hawaii,
Oregon,
Ohio,63
Massachusetts,63
Colorado,
Minnesota,
Missouri,
Illinois,54
New Mexico,
Pennsylvania,54
California,54
Indiana,
Nebraska,
Tennessee,
Arkansas,
Oklahoma,
Texas,45
Louisiana,
South Carolina,
Virginia,45
Alabama,
North Carolina,45
Iowa,
Michigan,45
District of Columbia,
New York,45
Kansas,
Florida,45
Wisconsin,36
Georgia,36
Arizona,
New Jersey,36
Mississippi,
Delaware,
Montana,
New Hampshire,
Rhode Island,
South Dakota,
Vermont,
Wyoming,
