Category: All categories

Region,suicidal friend: (2014)
South Dakota,
North Dakota,
Idaho,
Kansas,
West Virginia,
Alaska,
Montana,
New Mexico,
Minnesota,
Nebraska,
Arkansas,
Rhode Island,
Colorado,
Wisconsin,100
Nevada,
Michigan,100
Utah,
Pennsylvania,85
Ohio,85
Oklahoma,
Arizona,
Maryland,
Massachusetts,85
New Jersey,85
Missouri,
Illinois,71
California,71
Washington,71
Connecticut,
Florida,71
Texas,71
Indiana,
Iowa,
Louisiana,
South Carolina,
North Carolina,57
Kentucky,
New York,57
District of Columbia,
Georgia,42
Alabama,
Virginia,42
Oregon,
Tennessee,
Delaware,
Hawaii,
Maine,
Mississippi,
New Hampshire,
Vermont,
Wyoming,
