Category: All categories

Region,suicidal friend: (2015)
Delaware,
West Virginia,
Rhode Island,
New Hampshire,
Utah,
New Mexico,
Mississippi,
Arkansas,
Nebraska,
Hawaii,
Minnesota,
Maine,
Michigan,100
Missouri,
Kansas,
Iowa,
Indiana,
Kentucky,
Connecticut,
Pennsylvania,85
Ohio,85
Massachusetts,71
Illinois,71
Arizona,
California,71
North Carolina,71
Wisconsin,71
Tennessee,
Alabama,
South Carolina,
New Jersey,57
Louisiana,
Oregon,
Florida,57
Colorado,
New York,42
Washington,42
Texas,42
Virginia,42
Nevada,
Georgia,28
District of Columbia,
Maryland,
Oklahoma,
Alaska,
Idaho,
Montana,
North Dakota,
South Dakota,
Vermont,
Wyoming,
