Category: All categories

Region,suicidal friend: (2012)
Alaska,
North Dakota,
Connecticut,
Wisconsin,100
Maryland,
Kansas,
Ohio,75
Oklahoma,
Washington,75
Minnesota,
Michigan,62
Alabama,
Colorado,
Hawaii,
Idaho,
Missouri,
Illinois,50
Arizona,
California,50
Virginia,50
Kentucky,
Texas,50
Pennsylvania,50
North Carolina,50
New York,37
Oregon,
South Carolina,
New Jersey,37
Florida,37
Nevada,
Tennessee,
Indiana,
Massachusetts,12
Georgia,12
Arkansas,
District of Columbia,
Delaware,
Iowa,
Louisiana,
Maine,
Mississippi,
Montana,
Nebraska,
New Hampshire,
New Mexico,
Rhode Island,
South Dakota,
Utah,
Vermont,
West Virginia,
Wyoming,
