Category: All categories

Region,bipolar: (2006)
West Virginia,100
Mississippi,88
Arkansas,88
Alabama,82
Wyoming,80
Maine,80
New Hampshire,77
Kentucky,76
Montana,76
North Dakota,74
Tennessee,74
Ohio,73
Louisiana,73
Connecticut,72
Rhode Island,72
South Dakota,72
Oklahoma,72
Vermont,71
Nebraska,71
Indiana,70
Wisconsin,70
Minnesota,69
Maryland,68
Colorado,67
Iowa,67
Idaho,67
Kansas,66
Alaska,66
Pennsylvania,66
New Mexico,66
Missouri,65
Delaware,64
South Carolina,64
Michigan,64
North Carolina,64
Oregon,62
Georgia,62
Massachusetts,62
Illinois,62
Hawaii,61
Utah,61
Washington,60
New Jersey,60
Virginia,60
Texas,56
Florida,56
Arizona,56
District of Columbia,54
California,51
Nevada,51
New York,49
