Category: All categories

Region,bipolar: (2009)
West Virginia,100
Delaware,98
Mississippi,97
Vermont,90
New Mexico,88
Kentucky,87
Connecticut,86
Maine,84
Kansas,84
Arkansas,82
South Carolina,82
Alabama,82
Louisiana,81
South Dakota,80
Wisconsin,80
Idaho,79
New Hampshire,78
Rhode Island,78
Iowa,78
Tennessee,78
Missouri,78
North Carolina,77
Alaska,77
Indiana,77
Maryland,77
Wyoming,75
Ohio,73
Oregon,72
Colorado,72
Massachusetts,72
Pennsylvania,71
Nebraska,71
Michigan,70
Oklahoma,70
New York,70
Texas,69
Florida,68
Arizona,68
Minnesota,67
Utah,67
Washington,66
North Dakota,66
Nevada,65
Montana,65
Georgia,64
Illinois,62
District of Columbia,62
New Jersey,62
Virginia,59
California,57
Hawaii,55
