Category: All categories

Region,bipolar: (2011)
Montana,100
New Hampshire,93
West Virginia,92
Rhode Island,92
Mississippi,90
Michigan,89
Maine,89
Alaska,89
Pennsylvania,87
Arkansas,87
Kentucky,85
Alabama,84
Delaware,84
Illinois,83
New Mexico,83
New Jersey,83
Louisiana,82
Virginia,81
Tennessee,81
Florida,81
South Dakota,81
Indiana,81
Oklahoma,80
Massachusetts,80
South Carolina,80
Connecticut,79
Idaho,79
North Carolina,79
Iowa,79
Nebraska,79
New York,78
Texas,78
Utah,78
Kansas,78
Georgia,77
North Dakota,76
Ohio,75
Vermont,74
California,73
Wyoming,73
Hawaii,73
Washington,72
Oregon,72
Maryland,72
Missouri,72
Arizona,71
Colorado,70
Wisconsin,70
Nevada,67
Minnesota,66
District of Columbia,65
