Category: All categories

Region,bipolar: (2004)
West Virginia,100
Nebraska,97
Idaho,96
Montana,90
Maine,89
Tennessee,86
Kentucky,85
Alabama,84
Kansas,83
Vermont,81
North Carolina,81
South Carolina,80
New Hampshire,80
Wyoming,80
Ohio,80
Colorado,79
New Mexico,79
Iowa,78
Oregon,78
Indiana,77
Arkansas,75
Wisconsin,75
Michigan,75
Louisiana,75
Maryland,75
Pennsylvania,75
South Dakota,74
Alaska,74
Massachusetts,73
Mississippi,72
Utah,71
Georgia,71
Rhode Island,71
Missouri,69
Minnesota,68
Texas,67
Washington,66
Connecticut,66
Arizona,65
Delaware,65
Nevada,65
Illinois,64
New Jersey,63
New York,62
Virginia,60
Florida,59
Oklahoma,59
District of Columbia,56
Hawaii,55
California,51
North Dakota,48
