Category: All categories

Region,friends hate me: (2013)
Wyoming,
West Virginia,
Kansas,
Iowa,
Rhode Island,
Wisconsin,100
Mississippi,
Michigan,87
Alabama,
Connecticut,
Nebraska,
Virginia,75
New Hampshire,
New Jersey,75
Illinois,75
Kentucky,
Oklahoma,
South Carolina,
Arkansas,
Arizona,62
Massachusetts,62
New Mexico,
California,62
Georgia,62
Pennsylvania,62
New York,50
Ohio,50
Oregon,
Nevada,
Florida,50
Washington,37
Texas,37
Louisiana,
Maryland,37
Utah,
North Carolina,25
Missouri,25
Indiana,25
District of Columbia,
Tennessee,12
Colorado,12
Minnesota,<1
Alaska,
Delaware,
Hawaii,
Idaho,
Maine,
Montana,
North Dakota,
South Dakota,
Vermont,
