Category: All categories

Region,friends hate me: (2011)
Wyoming,
West Virginia,
Rhode Island,
South Carolina,
New Hampshire,
Oklahoma,
Wisconsin,100
Oregon,
New Jersey,87
Massachusetts,87
Utah,
Indiana,75
Virginia,75
Connecticut,
Kansas,
Pennsylvania,75
Iowa,
Kentucky,
Michigan,62
District of Columbia,
Missouri,50
Arkansas,
California,50
Louisiana,
Arizona,50
Georgia,50
Washington,50
New York,50
Texas,37
Florida,37
Illinois,37
Colorado,37
Ohio,37
Tennessee,25
North Carolina,25
Minnesota,25
Alaska,
Alabama,
Delaware,
Hawaii,
Idaho,
Maryland,
Maine,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Mexico,
Nevada,
South Dakota,
Vermont,
