Category: All categories

Region,Paranoid: (2018)
California,100
Arkansas,98
New Hampshire,98
West Virginia,98
Kentucky,97
Massachusetts,95
Rhode Island,92
Connecticut,92
Maine,91
Wyoming,91
Iowa,91
Kansas,91
Louisiana,90
Vermont,90
Maryland,89
New Jersey,89
Washington,88
Mississippi,87
Alaska,87
New Mexico,87
Oklahoma,87
Michigan,86
New York,86
Indiana,85
Utah,85
Tennessee,85
Pennsylvania,85
Nevada,85
Missouri,84
Oregon,84
Nebraska,84
Virginia,84
Minnesota,84
Alabama,84
Ohio,82
Wisconsin,81
Texas,80
Delaware,79
Montana,78
Arizona,78
Idaho,78
South Dakota,77
Colorado,77
South Carolina,77
Illinois,77
North Carolina,77
Georgia,74
Hawaii,74
North Dakota,69
Florida,66
District of Columbia,63
