Category: All categories

Region,ocd: (2007)
New Hampshire,100
North Dakota,99
Rhode Island,91
Iowa,87
Vermont,86
New Mexico,85
Alabama,80
Maine,79
Pennsylvania,77
Montana,76
West Virginia,75
Massachusetts,74
Maryland,74
New York,72
Wisconsin,72
South Dakota,72
Michigan,71
Ohio,71
Kansas,71
Connecticut,70
Kentucky,70
Indiana,69
Missouri,69
Nebraska,68
Idaho,68
Utah,68
New Jersey,66
Mississippi,66
Louisiana,65
Illinois,64
Arizona,63
Minnesota,62
Tennessee,62
District of Columbia,61
Oregon,61
North Carolina,60
Colorado,60
Alaska,60
Arkansas,60
Virginia,59
Nevada,59
South Carolina,59
Washington,57
Texas,56
Florida,55
Wyoming,50
Oklahoma,50
California,49
Georgia,49
Delaware,48
Hawaii,45
