Category: All categories

Region,ocd: (2010)
Rhode Island,100
Connecticut,93
Maine,90
Montana,89
Delaware,88
Iowa,88
North Dakota,85
Pennsylvania,84
Wisconsin,84
Nebraska,84
Indiana,84
Massachusetts,81
New Hampshire,81
Tennessee,80
Minnesota,80
Kentucky,79
Ohio,78
Louisiana,78
South Dakota,78
New Jersey,76
Michigan,76
Maryland,75
Alabama,74
New York,73
Wyoming,73
Missouri,73
Oregon,72
Kansas,72
Arizona,71
West Virginia,71
Arkansas,70
Utah,70
South Carolina,70
Alaska,70
Mississippi,68
Washington,67
Illinois,67
Hawaii,66
Colorado,66
Vermont,66
New Mexico,65
North Carolina,65
District of Columbia,65
Georgia,64
Oklahoma,63
Idaho,62
Florida,60
Nevada,56
Texas,52
California,42
Virginia,34
