Category: All categories

Region,ocd: (2013)
Vermont,100
Pennsylvania,90
New Hampshire,88
Rhode Island,86
Maine,86
Connecticut,79
Delaware,78
West Virginia,77
New Mexico,77
Massachusetts,76
New Jersey,76
Idaho,75
North Dakota,75
Utah,73
Nebraska,72
New York,72
Indiana,71
Wisconsin,71
Montana,71
Iowa,70
Maryland,67
Kansas,66
California,66
Alaska,66
Tennessee,65
Illinois,65
Michigan,65
Oklahoma,64
Florida,64
Hawaii,64
Alabama,64
Arkansas,63
South Carolina,63
Texas,62
Minnesota,62
South Dakota,62
Mississippi,62
Kentucky,62
Washington,60
Virginia,60
Ohio,60
District of Columbia,59
Missouri,59
Colorado,59
Arizona,58
Louisiana,58
North Carolina,57
Nevada,57
Wyoming,55
Georgia,54
Oregon,52
