Category: All categories

Region,ocd: (2019)
Rhode Island,100
Massachusetts,98
Utah,97
Vermont,93
New Hampshire,89
Pennsylvania,87
Maine,86
Connecticut,85
New York,83
New Jersey,82
Illinois,78
Michigan,76
California,76
West Virginia,74
Alaska,73
Maryland,73
Oregon,73
Ohio,72
Minnesota,72
Montana,72
South Dakota,72
Virginia,72
New Mexico,71
Kentucky,71
Delaware,71
Kansas,70
Wisconsin,69
Idaho,69
Washington,69
Iowa,69
North Carolina,69
Texas,66
Nebraska,64
Arkansas,64
Indiana,64
Hawaii,64
Georgia,64
Oklahoma,63
Missouri,63
Florida,63
Tennessee,62
Alabama,61
District of Columbia,61
Louisiana,60
South Carolina,60
Nevada,60
Mississippi,60
Arizona,58
Colorado,57
North Dakota,56
Wyoming,55
