Category: All categories

Region,ocd: (2017)
Rhode Island,100
Vermont,92
Massachusetts,90
Utah,89
Pennsylvania,89
Maine,87
New Hampshire,86
Connecticut,85
New Jersey,84
Delaware,79
Ohio,79
New Mexico,78
Kentucky,77
Idaho,77
Montana,76
West Virginia,75
California,73
Michigan,73
New York,73
Illinois,73
Iowa,72
District of Columbia,72
Wisconsin,71
Arkansas,71
Virginia,70
Minnesota,70
Indiana,69
South Dakota,69
Missouri,69
Nebraska,68
Oregon,67
North Carolina,67
North Dakota,66
Maryland,65
Washington,65
Oklahoma,65
Alabama,65
South Carolina,64
Kansas,64
Mississippi,64
Alaska,63
Louisiana,63
Florida,63
Wyoming,61
Texas,61
Tennessee,61
Arizona,61
Nevada,61
Colorado,60
Hawaii,58
Georgia,58
