Category: All categories

Region,ocd: (2016)
Maine,100
Rhode Island,95
Connecticut,91
Utah,91
New Hampshire,90
South Dakota,88
New Jersey,88
West Virginia,88
Massachusetts,88
New Mexico,87
Vermont,83
New York,83
Pennsylvania,82
Idaho,80
Oklahoma,76
Mississippi,76
Delaware,75
Montana,75
Kentucky,74
North Dakota,74
California,74
Wisconsin,73
Arkansas,72
Iowa,72
Illinois,72
Maryland,72
Minnesota,72
Indiana,72
Nebraska,72
District of Columbia,70
Oregon,70
Hawaii,70
North Carolina,70
Ohio,70
Georgia,70
Alabama,69
Kansas,69
Michigan,68
Missouri,68
South Carolina,67
Wyoming,67
Washington,66
Tennessee,65
Louisiana,65
Alaska,65
Arizona,64
Texas,64
Virginia,64
Colorado,64
Florida,63
Nevada,60
