Category: All categories

Region,cigarettes: (2009)
Rhode Island,100
Delaware,83
Arkansas,79
West Virginia,78
South Dakota,78
Connecticut,76
Wisconsin,75
Vermont,74
Maine,74
Florida,74
Indiana,73
New Hampshire,71
Hawaii,71
North Dakota,70
Arizona,69
Pennsylvania,68
Louisiana,68
New York,68
Kansas,67
Wyoming,67
Nevada,66
Mississippi,66
Kentucky,66
Tennessee,65
Missouri,65
Ohio,64
Maryland,64
Illinois,64
Michigan,64
Iowa,63
Idaho,60
Alabama,60
Texas,59
Oklahoma,59
Alaska,59
Nebraska,58
New Mexico,58
New Jersey,57
Oregon,57
Massachusetts,56
Montana,56
Minnesota,56
North Carolina,55
South Carolina,54
Colorado,53
District of Columbia,51
Washington,50
Georgia,48
Utah,39
California,36
Virginia,30
