Category: All categories

Region,cigarettes: (2010)
Rhode Island,100
West Virginia,92
South Dakota,91
New Hampshire,89
Wisconsin,84
Delaware,84
Connecticut,83
New York,83
North Dakota,81
Kentucky,81
Michigan,80
Arkansas,80
Hawaii,80
Indiana,80
Pennsylvania,79
Vermont,79
New Mexico,79
Alaska,77
Kansas,77
Maine,77
South Carolina,76
Oklahoma,75
Nevada,75
Tennessee,74
Arizona,74
New Jersey,74
Mississippi,74
Florida,73
Alabama,73
Montana,72
Nebraska,70
Ohio,70
Louisiana,70
Maryland,69
Iowa,69
Massachusetts,69
Missouri,67
North Carolina,67
Washington,66
Illinois,65
Wyoming,64
Minnesota,63
Oregon,63
Colorado,60
District of Columbia,60
Idaho,59
Utah,56
Texas,55
Georgia,53
California,38
Virginia,37
