Category: All categories

Region,cigarettes: (2014)
West Virginia,100
Tennessee,92
Georgia,86
Kentucky,85
Pennsylvania,85
Arkansas,84
Missouri,84
North Carolina,82
Michigan,82
Illinois,80
Maine,80
New York,80
Rhode Island,79
Mississippi,79
Arizona,78
Vermont,76
New Jersey,76
South Carolina,76
Texas,76
New Hampshire,76
Wyoming,75
Florida,75
Washington,75
Massachusetts,75
Indiana,75
Wisconsin,75
North Dakota,74
Colorado,74
Kansas,74
Ohio,73
Nevada,73
Alabama,71
Minnesota,70
Nebraska,70
New Mexico,70
Louisiana,70
Alaska,69
Iowa,69
Oklahoma,69
South Dakota,68
Idaho,68
Hawaii,68
Montana,68
District of Columbia,67
Connecticut,66
Delaware,65
California,64
Maryland,63
Virginia,54
Utah,52
Oregon,39
