Category: All categories

Region,cigarettes: (2016)
West Virginia,100
Pennsylvania,87
Vermont,84
Indiana,81
Maine,81
Illinois,78
Michigan,78
New York,78
Ohio,77
New Hampshire,77
Rhode Island,75
New Jersey,75
Kentucky,73
Arkansas,73
Missouri,73
Delaware,73
Tennessee,73
North Carolina,71
New Mexico,70
Mississippi,69
Arizona,69
Massachusetts,69
South Carolina,68
Louisiana,68
District of Columbia,68
South Dakota,67
Kansas,67
North Dakota,66
Oklahoma,66
Nevada,66
Alabama,65
California,65
Georgia,65
Montana,65
Virginia,64
Texas,64
Maryland,63
Iowa,63
Florida,63
Wyoming,63
Nebraska,62
Wisconsin,62
Minnesota,62
Colorado,61
Alaska,60
Washington,60
Oregon,60
Connecticut,59
Hawaii,56
Idaho,55
Utah,52
