Category: All categories

Region,cigarettes: (2017)
West Virginia,100
Kentucky,83
Pennsylvania,82
Indiana,81
Missouri,80
New Hampshire,80
Rhode Island,78
Vermont,78
Ohio,76
Tennessee,75
New York,74
Maine,74
North Dakota,73
Alabama,73
Delaware,73
Arkansas,73
Illinois,73
California,72
New Jersey,72
Wyoming,72
Nevada,72
Montana,71
Massachusetts,71
Michigan,70
Oklahoma,69
Alaska,69
Colorado,69
Minnesota,69
New Mexico,69
South Carolina,69
Arizona,69
North Carolina,67
Wisconsin,67
South Dakota,67
Mississippi,66
Louisiana,66
Hawaii,66
Connecticut,65
Oregon,65
District of Columbia,65
Texas,64
Maryland,64
Florida,64
Washington,64
Virginia,63
Georgia,63
Iowa,62
Kansas,62
Idaho,62
Nebraska,61
Utah,50
