Category: All categories

Region,cigarettes: (2012)
West Virginia,100
Pennsylvania,95
Illinois,91
Vermont,90
Rhode Island,86
Arizona,86
New York,86
Florida,82
Nebraska,81
Kentucky,81
Missouri,80
New Mexico,79
Massachusetts,78
New Hampshire,78
Michigan,78
New Jersey,78
North Carolina,77
Nevada,77
Maine,77
Hawaii,77
Ohio,77
Oklahoma,76
Tennessee,75
Wyoming,75
Arkansas,75
Indiana,74
South Carolina,74
Alabama,74
Wisconsin,73
Virginia,73
Alaska,73
South Dakota,72
District of Columbia,72
Kansas,72
North Dakota,72
Louisiana,72
Georgia,72
Mississippi,71
Washington,71
Iowa,70
Delaware,70
Connecticut,69
Texas,69
Idaho,66
California,66
Maryland,66
Oregon,63
Colorado,63
Minnesota,63
Montana,62
Utah,54
