Category: All categories

Region,Eating disorder: (2017)
Vermont,100
North Dakota,95
Rhode Island,94
New Hampshire,92
Maine,89
Massachusetts,89
Minnesota,88
Oregon,86
South Dakota,83
Connecticut,83
Colorado,82
Utah,79
Wyoming,79
Iowa,76
Wisconsin,76
Kansas,74
Pennsylvania,73
Maryland,73
Missouri,73
New York,73
West Virginia,72
Indiana,70
Nebraska,69
Arkansas,67
Delaware,67
Idaho,67
New Jersey,66
Washington,66
Ohio,65
Kentucky,65
Oklahoma,63
District of Columbia,62
Arizona,62
Michigan,62
Virginia,61
Montana,61
California,60
North Carolina,59
Tennessee,59
New Mexico,58
Illinois,58
South Carolina,56
Hawaii,52
Alabama,51
Alaska,50
Nevada,49
Mississippi,49
Georgia,48
Texas,47
Louisiana,47
Florida,43
