Category: All categories

Region,Eating disorder: (2015)
New Hampshire,100
North Dakota,93
Rhode Island,93
Maine,85
West Virginia,82
Minnesota,81
Massachusetts,80
Connecticut,77
Delaware,73
Iowa,71
Vermont,69
Utah,69
Arkansas,68
Indiana,68
Idaho,67
New Jersey,65
Wisconsin,65
Pennsylvania,64
Ohio,64
Wyoming,64
Missouri,63
Maryland,63
Alabama,62
South Dakota,62
Colorado,61
Nebraska,61
Michigan,60
Arizona,60
New York,59
North Carolina,57
Montana,56
Kentucky,56
Washington,54
Tennessee,52
Kansas,51
New Mexico,51
Illinois,50
California,49
Louisiana,48
District of Columbia,48
Nevada,48
Oklahoma,47
Alaska,47
South Carolina,46
Mississippi,45
Oregon,45
Hawaii,44
Florida,44
Georgia,43
Texas,38
Virginia,34
