Category: All categories

Region,fast death: (2015)
Kentucky,100
Utah,96
Missouri,96
Tennessee,93
Vermont,
New Mexico,90
Arkansas,90
South Carolina,87
Alabama,87
South Dakota,
Wisconsin,81
Oklahoma,81
Alaska,
Nebraska,78
Washington,78
Idaho,78
Pennsylvania,78
Nevada,78
Arizona,78
New York,78
North Carolina,75
New Jersey,71
Texas,71
Maryland,71
Iowa,71
Connecticut,71
Georgia,71
California,71
Ohio,68
Michigan,68
Mississippi,65
Maine,
Rhode Island,
Illinois,65
Massachusetts,65
Florida,65
Hawaii,
Colorado,62
Montana,
District of Columbia,
Minnesota,59
Oregon,59
Virginia,59
New Hampshire,56
Wyoming,
Kansas,53
Indiana,53
Louisiana,50
West Virginia,
North Dakota,
Delaware,
