Category: All categories

Region,transphobia: (2020)
Vermont,100
North Dakota,
Oregon,58
Rhode Island,51
South Dakota,
Washington,48
Massachusetts,46
Connecticut,43
Maryland,41
Pennsylvania,39
Iowa,36
Minnesota,36
Delaware,
New Mexico,36
Alaska,
Virginia,36
Kansas,36
Idaho,34
New York,34
Wisconsin,34
Maine,34
New Hampshire,34
California,31
Indiana,31
Colorado,31
Nebraska,31
Missouri,31
Illinois,31
Ohio,29
Nevada,29
New Jersey,29
Montana,29
Tennessee,26
Michigan,26
District of Columbia,26
Florida,26
North Carolina,24
Georgia,24
Kentucky,24
Texas,24
Arkansas,24
Arizona,21
Utah,21
South Carolina,21
Louisiana,21
Oklahoma,21
West Virginia,19
Hawaii,14
Alabama,14
Mississippi,14
Wyoming,
