Category: All categories

Region,transphobia: (2021)
Wyoming,
Alaska,
Oregon,100
District of Columbia,92
Washington,85
Massachusetts,85
Maine,82
Maryland,71
Iowa,67
Nevada,60
Minnesota,57
New Jersey,53
Utah,53
Colorado,53
Virginia,53
California,50
Illinois,50
Idaho,50
Michigan,46
Rhode Island,46
Hawaii,46
Kansas,46
Montana,46
New York,46
Ohio,46
Oklahoma,46
Indiana,46
North Carolina,46
Arizona,46
Missouri,46
Kentucky,46
Connecticut,42
Vermont,42
Pennsylvania,42
Georgia,39
Louisiana,39
West Virginia,39
New Mexico,39
Florida,35
South Carolina,35
New Hampshire,35
Delaware,
Alabama,32
Wisconsin,32
Texas,32
Nebraska,28
Tennessee,25
South Dakota,
North Dakota,
Arkansas,21
Mississippi,21
