Category: All categories

Region,kill yourself: (2016)
Wyoming,100
West Virginia,99
South Dakota,95
Maine,85
New Mexico,85
Arkansas,84
New Hampshire,82
Indiana,82
Idaho,79
Alaska,78
Iowa,78
South Carolina,78
Kentucky,77
North Dakota,76
Utah,76
Arizona,75
Ohio,75
Colorado,75
Oklahoma,75
Missouri,74
Michigan,72
Rhode Island,71
Wisconsin,71
Oregon,71
Nevada,70
Montana,69
Pennsylvania,68
Nebraska,67
Kansas,67
North Carolina,67
Mississippi,66
Connecticut,66
Washington,65
Louisiana,65
New Jersey,64
Tennessee,63
Hawaii,62
Alabama,62
Illinois,61
Virginia,61
Minnesota,60
Georgia,58
California,58
Massachusetts,58
Vermont,57
Texas,56
Florida,53
Maryland,53
Delaware,52
New York,50
District of Columbia,48
