Category: All categories

Region,kill yourself: (2019)
West Virginia,100
New Mexico,92
South Dakota,92
Utah,91
Indiana,88
Alaska,86
Arkansas,86
Kentucky,86
Idaho,83
Maine,82
New Hampshire,82
Colorado,81
Montana,81
Kansas,81
Oregon,80
Nevada,79
Nebraska,79
Mississippi,78
Michigan,78
Missouri,77
Rhode Island,77
Vermont,77
Ohio,76
Alabama,76
Oklahoma,75
Pennsylvania,74
Wyoming,73
Hawaii,73
Iowa,73
Washington,72
Arizona,72
South Carolina,71
Tennessee,71
Minnesota,71
Wisconsin,71
Connecticut,70
Georgia,68
North Dakota,68
Illinois,66
Louisiana,65
Massachusetts,64
North Carolina,64
Maryland,64
California,63
Delaware,62
Virginia,61
Texas,58
New Jersey,57
Florida,52
New York,50
District of Columbia,36
