Category: All categories

Region,kill yourself: (2021)
Wyoming,100
South Dakota,94
Maine,91
Oklahoma,88
Utah,86
Kentucky,82
Nebraska,82
New Hampshire,80
Kansas,80
Alaska,80
Colorado,80
Indiana,79
Ohio,78
Vermont,78
Arkansas,77
Mississippi,76
New Mexico,76
Maryland,76
Missouri,75
Nevada,75
West Virginia,75
Oregon,74
Alabama,74
Michigan,74
Tennessee,73
Connecticut,71
Iowa,70
Idaho,70
Washington,70
Louisiana,69
Georgia,69
Minnesota,69
Arizona,68
North Carolina,68
Pennsylvania,68
Massachusetts,67
Wisconsin,65
South Carolina,65
Illinois,65
Delaware,65
Montana,65
Virginia,65
District of Columbia,60
Hawaii,60
Texas,59
North Dakota,59
California,58
New Jersey,56
Florida,56
Rhode Island,55
New York,52
