Category: All categories

Region,depression: (2017)
West Virginia,100
Iowa,99
Indiana,98
Ohio,92
Arkansas,91
Pennsylvania,90
Vermont,90
New Mexico,90
Minnesota,90
Kentucky,89
Connecticut,89
Wisconsin,88
Missouri,88
Idaho,88
Massachusetts,87
Tennessee,87
Michigan,87
Mississippi,87
South Dakota,87
Alabama,86
Maryland,85
Virginia,85
Colorado,84
Utah,84
Wyoming,84
Oregon,84
Illinois,84
Louisiana,84
Oklahoma,84
Nebraska,84
New Jersey,83
Maine,83
Arizona,83
California,82
Rhode Island,82
South Carolina,82
North Carolina,81
North Dakota,81
Kansas,81
Montana,80
Washington,79
Texas,79
New Hampshire,78
Georgia,78
New York,77
Alaska,74
Delaware,74
Florida,70
Nevada,70
District of Columbia,69
Hawaii,67
