Category: All categories

Region,depression: (2019)
Missouri,100
Maine,100
Indiana,98
Utah,98
South Carolina,97
West Virginia,94
Kentucky,94
Idaho,92
Iowa,92
Kansas,92
Rhode Island,91
Wisconsin,90
Michigan,89
Massachusetts,89
Nebraska,89
Ohio,89
Minnesota,88
Oregon,88
Pennsylvania,86
Connecticut,86
Alabama,86
Arkansas,86
Maryland,85
South Dakota,85
Virginia,85
Tennessee,84
Mississippi,84
Vermont,84
Illinois,83
Colorado,83
Washington,83
New Jersey,83
Arizona,83
Wyoming,82
Louisiana,82
New Mexico,82
Texas,82
Alaska,81
California,81
Oklahoma,80
North Dakota,80
New Hampshire,80
Georgia,79
Delaware,78
North Carolina,78
Montana,76
New York,75
Nevada,73
Florida,72
Hawaii,70
District of Columbia,62
