Category: All categories

Region,depression: (2013)
Iowa,100
Pennsylvania,99
South Dakota,98
Indiana,97
Wyoming,97
Vermont,96
Connecticut,95
Maine,94
West Virginia,93
Montana,92
Alabama,92
Delaware,92
Utah,91
Ohio,91
North Dakota,90
Minnesota,89
Idaho,89
Rhode Island,88
Michigan,88
Kentucky,88
New Jersey,87
Arkansas,87
Maryland,87
Massachusetts,87
Wisconsin,86
New Hampshire,86
North Carolina,86
Illinois,85
Tennessee,85
Missouri,84
Louisiana,84
New Mexico,84
South Carolina,84
Kansas,83
Virginia,83
New York,83
Washington,83
California,83
Mississippi,82
Alaska,82
Oklahoma,81
Arizona,80
Nebraska,78
Georgia,76
Nevada,76
Texas,74
Colorado,72
Hawaii,71
Florida,70
District of Columbia,67
Oregon,57
