Category: All categories

Region,depression: (2011)
Wyoming,100
Kentucky,91
Indiana,89
West Virginia,88
North Dakota,86
Maine,85
Michigan,85
Pennsylvania,83
Vermont,82
Wisconsin,82
South Dakota,82
Missouri,82
Utah,82
Alabama,81
Rhode Island,81
Idaho,80
New Jersey,80
Connecticut,80
New Mexico,78
New Hampshire,78
Tennessee,77
Massachusetts,77
Ohio,76
Oregon,76
Illinois,76
Delaware,76
North Carolina,75
Iowa,75
Mississippi,75
Arkansas,75
South Carolina,74
Montana,74
Maryland,74
Minnesota,73
Louisiana,71
Kansas,70
Georgia,70
Virginia,70
Washington,69
Nebraska,69
Alaska,68
New York,68
Colorado,68
California,68
Florida,67
Oklahoma,67
Texas,65
Hawaii,64
Arizona,64
District of Columbia,60
Nevada,58
